iter	Logloss
0	0.69265343
1	0.6921303194
2	0.6915849491
3	0.6910883382
4	0.6905462246
5	0.690053705
6	0.6895440497
7	0.6890530857
8	0.6885795608
9	0.6881222521
10	0.6876470636
11	0.6871036576
12	0.6865922419
13	0.6860566956
14	0.6855801973
15	0.6850903584
16	0.6845815338
17	0.6840750711
18	0.6836257093
19	0.6831452897
20	0.6827035129
21	0.6822381458
22	0.6817341147
23	0.6812431125
24	0.6807173958
25	0.680244004
26	0.679727504
27	0.6792575004
28	0.6787758585
29	0.6782669629
30	0.6777835957
31	0.6773181299
32	0.6768133333
33	0.6763473789
34	0.6758447238
35	0.6753683975
36	0.6748971426
37	0.6744322104
38	0.6739528795
39	0.6734792456
40	0.6729925323
41	0.6725258582
42	0.6720738103
43	0.6715859201
44	0.6711277092
45	0.6706685353
46	0.6701799861
47	0.6696747059
48	0.6692081456
49	0.668724588
50	0.6682547839
51	0.6677585478
52	0.6672491369
53	0.6667446017
54	0.6662523224
55	0.6657633205
56	0.6653075433
57	0.664878346
58	0.6644294928
59	0.6639400358
60	0.6634747446
61	0.6629974435
62	0.6625332073
63	0.6620632251
64	0.6615869893
65	0.6610992656
66	0.6606062197
67	0.6601302888
68	0.6597210883
69	0.6592440944
70	0.658754283
71	0.6583037156
72	0.6578187037
73	0.6573480117
74	0.6568597084
75	0.6563957397
76	0.6559413832
77	0.6554672618
78	0.6550003008
79	0.6545645834
80	0.654107311
81	0.6536461038
82	0.6531762364
83	0.6527287149
84	0.6522445857
85	0.6517593449
86	0.6513066484
87	0.6509007594
88	0.6504312776
89	0.6499630419
90	0.6495250896
91	0.6490586747
92	0.6486056467
93	0.6481539655
94	0.6477059493
95	0.6472294893
96	0.6467772091
97	0.6463196197
98	0.6458498855
99	0.6454103277
100	0.6449305678
101	0.6445196286
102	0.6440444423
103	0.6436466051
104	0.6432228713
105	0.6428161875
106	0.642405152
107	0.6419584733
108	0.6414700046
109	0.6410001509
110	0.6405779142
111	0.6400876476
112	0.6395954891
113	0.6391511578
114	0.6387296787
115	0.6382568784
116	0.6377739868
117	0.637323873
118	0.6368794264
119	0.6364385179
120	0.6360018598
121	0.6355610507
122	0.6351578931
123	0.6347081228
124	0.6342306972
125	0.6337804566
126	0.6333384124
127	0.6329137389
128	0.6324827284
129	0.6320477472
130	0.6316139218
131	0.6311980623
132	0.6307784086
133	0.6303592033
134	0.6299312484
135	0.6295322975
136	0.6291110607
137	0.6286727158
138	0.6282432892
139	0.6277788077
140	0.6273313771
141	0.6268856152
142	0.626425913
143	0.6259837663
144	0.625549014
145	0.6251246272
146	0.6246887231
147	0.6242582183
148	0.6238354417
149	0.6234251462
150	0.6229918482
151	0.6225670786
152	0.6221092043
153	0.621731959
154	0.6213012386
155	0.6208751564
156	0.6204312827
157	0.6200273876
158	0.6195732612
159	0.6191810438
160	0.6187818955
161	0.6183626371
162	0.6179780015
163	0.6175342263
164	0.6170970962
165	0.6166634757
166	0.6162541468
167	0.6158378798
168	0.6154620173
169	0.6150394274
170	0.6146112905
171	0.6142059027
172	0.6138148341
173	0.6134079935
174	0.6130135968
175	0.6126090033
176	0.6122501753
177	0.6118260405
178	0.6114267797
179	0.6109813028
180	0.6105557922
181	0.6101440432
182	0.6097117387
183	0.6092862913
184	0.608840833
185	0.6084694322
186	0.608082111
187	0.6076778471
188	0.6072577631
189	0.6068962456
190	0.6064808173
191	0.6060654133
192	0.6056662131
193	0.6052487421
194	0.6048796676
195	0.6044917438
196	0.6040850907
197	0.6037017026
198	0.6033076205
199	0.6029223565
200	0.6025402809
201	0.6021423825
202	0.6017924011
203	0.6013988591
204	0.6010377842
205	0.6006261815
206	0.6002486047
207	0.5998408572
208	0.5994583438
209	0.599082138
210	0.5986872491
211	0.598265788
212	0.5978886833
213	0.597504937
214	0.5971280295
215	0.5967253602
216	0.5963295968
217	0.5959680451
218	0.5955610997
219	0.5951647045
220	0.594773295
221	0.5944124495
222	0.5940402609
223	0.5936708422
224	0.5932530782
225	0.5928644924
226	0.5924802164
227	0.5920937874
228	0.5917213246
229	0.5913405216
230	0.5909515204
231	0.5905844551
232	0.5901808454
233	0.5897941391
234	0.5894085804
235	0.5890137894
236	0.5886382004
237	0.5882646186
238	0.587872959
239	0.5874821603
240	0.5871150475
241	0.5867456224
242	0.5863902062
243	0.5860267729
244	0.585663101
245	0.5853011323
246	0.5849190043
247	0.5845401557
248	0.5841428707
249	0.5837662181
250	0.5833871118
251	0.5829883724
252	0.5826281306
253	0.5822553761
254	0.581887816
255	0.5815271464
256	0.5811478104
257	0.5807957037
258	0.5804357751
259	0.5800675653
260	0.5796868237
261	0.579322177
262	0.5789318306
263	0.5785639339
264	0.5781878879
265	0.5778301246
266	0.5774805625
267	0.5771097406
268	0.5767251098
269	0.5763956033
270	0.5760491938
271	0.5756715019
272	0.5752984842
273	0.5749276061
274	0.5745704842
275	0.5742117278
276	0.5738426476
277	0.5734834054
278	0.5731389285
279	0.5728173876
280	0.572466231
281	0.5721021862
282	0.5717926764
283	0.5714218665
284	0.571072808
285	0.5707177522
286	0.5703226356
287	0.5699941448
288	0.5696277569
289	0.5692678534
290	0.5689126092
291	0.5685583059
292	0.5682032239
293	0.5678262042
294	0.5674860116
295	0.5671182076
296	0.5668017227
297	0.5664404141
298	0.5660808345
299	0.5657252426
300	0.5653725378
301	0.5650330838
302	0.5646804535
303	0.5643354691
304	0.5640105584
305	0.5636870038
306	0.5633412109
307	0.5630152899
308	0.5626392565
309	0.562282376
310	0.5619196308
311	0.5615699897
312	0.5612215407
313	0.5608600364
314	0.560504479
315	0.5601590287
316	0.559793766
317	0.5594512864
318	0.5591402294
319	0.5587998574
320	0.5584721786
321	0.5581356296
322	0.5577909717
323	0.557452947
324	0.5571557683
325	0.5568299769
326	0.5564833105
327	0.5561615264
328	0.5558415596
329	0.5554997898
330	0.5551529753
331	0.5547830357
332	0.5544482582
333	0.5540887451
334	0.5537449472
335	0.5534329407
